LSOA11CD,medianAge
E01000931,34.0
E01000932,35.0
E01000933,35.0
E01000934,37.0
E01000935,36.0
E01000936,29.0
E01000937,23.0
E01000938,28.0
E01000939,27.0
E01000940,31.0
E01000941,35.0
E01000942,24.0
E01000943,33.0
E01000944,24.5
E01000945,23.0
E01000946,31.0
E01000947,32.0
E01000948,38.0
E01000949,34.0
E01000950,30.0
E01000951,28.0
E01000952,31.0
E01000953,27.0
E01000954,29.0
E01000955,32.0
E01000956,28.0
E01000957,34.0
E01000958,27.0
E01000959,29.0
E01000960,33.0
E01000961,35.0
E01000962,34.0
E01000963,35.0
E01000964,36.0
E01000965,32.0
E01000966,36.0
E01000967,40.0
E01000968,34.0
E01000969,34.0
E01000970,34.0
E01000971,36.0
E01000972,35.0
E01000973,31.0
E01000974,33.0
E01000975,32.0
E01000976,35.0
E01000977,37.0
E01000978,35.0
E01000979,36.0
E01000980,37.5
E01000981,37.0
E01000982,37.0
E01000983,39.0
E01000984,38.0
E01000985,49.0
E01000986,44.0
E01000987,47.0
E01000989,44.0
E01000990,40.0
E01000991,51.0
E01000992,36.0
E01000993,38.0
E01000994,38.0
E01000995,37.5
E01000996,41.0
E01000997,41.0
E01000998,35.0
E01000999,39.0
E01001000,34.0
E01001001,37.0
E01001002,37.0
E01001003,37.0
E01001004,33.0
E01001005,34.0
E01001006,32.0
E01001007,37.0
E01001008,35.0
E01001009,34.0
E01001010,33.0
E01001011,34.0
E01001012,32.0
E01001013,32.0
E01001014,31.0
E01001015,40.0
E01001016,44.0
E01001017,44.0
E01001018,45.0
E01001019,48.0
E01001020,45.0
E01001021,40.0
E01001022,53.0
E01001023,36.0
E01001024,42.0
E01001025,43.0
E01001026,38.0
E01001027,36.0
E01001028,48.0
E01001029,42.0
E01001030,45.0
E01001031,46.0
E01001032,44.0
E01001033,36.0
E01001034,36.0
E01001035,35.0
E01001036,45.0
E01001037,33.0
E01001038,36.0
E01001039,43.0
E01001040,35.0
E01001041,33.0
E01001042,33.0
E01001043,31.0
E01001044,40.0
E01001045,33.0
E01001046,36.0
E01001047,34.0
E01001048,32.0
E01001049,45.0
E01001050,37.5
E01001051,31.0
E01001052,33.0
E01001053,39.0
E01001054,34.0
E01001055,40.0
E01001056,28.0
E01001057,24.0
E01001058,41.0
E01001059,38.0
E01001060,39.0
E01001061,38.0
E01001062,54.0
E01001063,46.0
E01001064,50.0
E01001065,43.0
E01001066,36.0
E01001067,46.0
E01001068,41.0
E01001069,44.0
E01001070,40.0
E01001071,39.5
E01001072,51.0
E01001073,38.0
E01001074,38.0
E01001075,36.0
E01001076,34.0
E01001077,41.0
E01001078,35.0
E01001079,35.0
E01001080,37.0
E01001081,36.0
E01001082,37.0
E01001083,42.0
E01001084,43.5
E01001085,38.0
E01001086,42.0
E01001087,35.0
E01001088,38.0
E01001089,36.0
E01001090,35.0
E01001091,41.0
E01001092,46.0
E01001093,39.0
E01001094,50.0
E01001095,35.0
E01001096,48.0
E01001097,35.0
E01001098,46.0
E01001099,36.0
E01001100,40.0
E01001101,45.0
E01001102,49.0
E01001103,49.0
E01001104,44.0
E01001105,41.0
E01001106,41.0
E01001107,45.0
E01001108,48.5
E01001109,37.0
E01001110,33.0
E01001111,36.0
E01001112,34.0
E01001113,34.0
E01001114,33.0
E01001115,35.0
E01001116,36.0
E01001117,34.0
E01001118,35.0
E01001119,45.0
E01001120,43.0
E01001121,53.0
E01001122,42.0
E01001123,48.0
E01001124,52.0
E01001125,44.0
E01001126,47.0
E01001127,50.0
E01001128,34.0
E01001129,50.0
E01001130,25.0
E01001131,39.0
E01001132,50.0
E01001133,55.0
E01001134,43.0
E01001135,47.0
E01001136,37.0
E01001137,37.0
E01001138,37.0
E01001139,38.0
E01001140,37.0
E01001141,35.0
E01001142,40.0
E01001143,36.0
E01001144,36.0
E01001145,31.0
E01001146,41.0
E01001147,32.0
E01001148,38.0
E01001149,37.0
E01001150,37.5
E01001151,38.0
E01001152,34.0
E01001153,39.0
E01001154,35.0
E01001155,38.0
E01001156,39.0
E01001157,40.0
E01001158,37.0
E01001159,40.0
E01001160,37.0
E01001161,35.0
E01001162,38.0
E01001163,39.0
E01001164,35.0
E01001165,36.0
E01001166,34.0
E01001167,37.0
E01001168,36.0
E01001169,37.0
E01001170,35.0
E01001171,36.0
E01001172,33.0
E01001173,34.0
E01001174,40.0
E01001175,34.0
E01001176,35.0
E01001177,34.0
E01001178,32.0
E01001179,37.5
E01001180,35.0
E01001181,30.0
E01001182,38.0
E01001183,34.0
E01001184,40.0
E01001185,38.0
E01001186,37.0
E01001187,36.0
E01001188,35.0
E01001189,39.0
E01001190,39.0
E01001191,34.0
E01001192,34.0
E01001193,35.0
E01001194,37.0
E01001195,35.0
E01001196,36.0
E01001197,36.0
E01001198,37.0
E01001199,36.0
E01001200,35.0
E01001201,38.0
E01001202,33.0
E01001203,37.0
E01001204,43.0
E01001205,35.0
E01001206,31.0
E01001207,37.0
E01001208,45.0
E01001209,43.5
E01001210,37.0
E01001211,43.0
E01001212,47.0
E01001213,39.0
E01001214,42.0
E01001215,41.0
E01001216,39.0
E01001217,38.0
E01001218,36.0
E01001219,34.0
E01001220,33.0
E01001221,36.0
E01001222,34.0
E01001223,38.0
E01001224,42.0
E01001225,40.0
E01001226,39.0
E01001227,40.0
E01001228,36.0
E01001229,39.0
E01001230,38.0
E01001231,37.0
E01001232,40.0
E01001233,39.0
E01001234,38.0
E01001235,36.0
E01001236,37.0
E01001237,39.0
E01001238,26.0
E01001239,35.0
E01001240,34.0
E01001241,32.0
E01001242,37.0
E01001243,32.0
E01001244,33.0
E01001245,35.0
E01001246,33.0
E01001247,33.0
E01001248,40.0
E01001249,34.0
E01001250,37.0
E01001251,37.0
E01001252,37.0
E01001253,37.0
E01001254,41.0
E01001255,39.0
E01001257,33.0
E01001258,40.0
E01001259,39.0
E01001260,38.0
E01001261,36.0
E01001262,40.0
E01001263,35.0
E01001264,38.0
E01001265,36.0
E01001266,41.0
E01001267,38.0
E01001268,40.0
E01001269,37.0
E01001270,37.0
E01001271,37.0
E01001272,37.0
E01001273,40.0
E01001274,37.0
E01001275,35.0
E01001276,36.0
E01001277,36.0
E01001278,36.0
E01001279,44.0
E01001280,37.0
E01001281,42.5
E01001282,41.0
E01001283,43.0
E01001284,42.0
E01001285,34.0
E01001286,36.0
E01001287,35.0
E01001288,37.0
E01001289,40.0
E01001290,39.0
E01001291,38.0
E01001292,42.0
E01001293,38.0
E01001294,38.0
E01001295,39.0
E01001296,42.0
E01001297,37.5
E01001298,41.0
E01001299,44.0
E01001300,38.0
E01001301,36.0
E01001302,39.0
E01001303,37.0
E01001304,37.0
E01001305,43.0
E01001306,41.0
E01001307,38.0
E01001308,40.0
E01001309,37.0
E01001310,36.0
E01001311,34.0
E01001312,38.0
E01001313,39.0
E01001314,38.0
E01001315,38.0
E01001316,34.0
E01001317,35.0
E01001318,35.0
E01001319,36.0
E01001320,31.5
E01001321,37.0
E01001322,38.0
E01001323,35.0
E01001324,34.0
E01001325,38.0
E01001326,35.0
E01001327,37.0
E01001328,33.0
E01001329,35.0
E01001330,34.0
E01001331,31.0
E01001332,34.0
E01001333,36.0
E01001334,35.0
E01001335,43.0
E01001336,41.0
E01001337,34.0
E01001338,38.0
E01001339,34.0
E01001340,38.0
E01001341,36.0
E01001342,35.0
E01001343,40.0
E01001344,37.0
E01001345,38.0
E01001346,40.0
E01001347,39.0
E01001348,38.0
E01001349,37.0
E01001350,40.0
E01001351,38.0
E01001352,38.0
E01001353,36.0
E01001354,38.0
E01001355,37.0
E01001356,34.0
E01001357,34.0
E01001358,32.5
E01001359,36.0
E01001360,43.0
E01001361,36.0
E01001362,37.0
E01001363,37.0
E01001364,38.0
E01001365,39.0
E01001366,37.0
E01001367,36.0
E01001368,39.0
E01001369,37.0
E01001370,36.0
E01001371,34.0
E01001372,34.0
E01001373,36.0
E01001374,37.0
E01001375,41.0
E01001376,39.0
E01001377,42.0
E01001379,41.0
E01001380,39.0
E01001381,37.0
E01001382,42.0
E01001383,39.0
E01001384,38.0
E01001385,40.0
E01001386,39.0
E01001387,38.0
E01001388,36.0
E01001389,38.0
E01001390,37.0
E01001391,35.0
E01001392,38.0
E01001393,34.0
E01001394,36.0
E01001395,36.0
E01001396,40.0
E01001397,34.0
E01001398,41.0
E01001399,47.0
E01001400,48.0
E01001401,39.0
E01001402,40.0
E01001403,40.0
E01001404,39.0
E01001405,46.0
E01001406,38.0
E01001407,36.5
E01001408,38.0
E01001409,35.0
E01001410,31.5
E01001411,39.0
E01001412,41.0
E01001413,46.0
E01001414,37.0
E01001415,38.0
E01001416,45.0
E01001417,46.0
E01001418,43.0
E01001419,38.0
E01001420,39.0
E01001421,38.0
E01001422,48.0
E01001423,35.0
E01001424,32.0
E01001425,29.0
E01001426,33.0
E01001427,34.0
E01001428,32.0
E01001429,35.0
E01001430,31.0
E01001431,33.0
E01001432,34.0
E01001433,32.0
E01001434,35.0
E01001435,36.0
E01001436,35.0
E01001437,31.0
E01001438,34.0
E01001439,29.0
E01001440,36.0
E01001441,34.0
E01001442,30.0
E01001444,34.0
E01001445,32.0
E01001446,36.0
E01001447,34.0
E01001448,32.0
E01001449,32.0
E01001450,35.0
E01001451,46.0
E01001452,46.0
E01001453,44.0
E01001454,44.0
E01001455,40.0
E01001456,45.0
E01001457,44.0
E01001458,33.0
E01001459,38.0
E01001460,31.0
E01001461,34.0
E01001462,33.0
E01001463,36.0
E01001464,35.0
E01001465,36.0
E01001466,32.0
E01001467,34.0
E01001468,42.0
E01001469,39.0
E01001470,45.0
E01001471,43.0
E01001472,40.0
E01001473,41.0
E01001474,44.0
E01001475,48.0
E01001476,36.0
E01001477,34.0
E01001478,37.0
E01001479,35.0
E01001480,38.0
E01001481,37.0
E01001482,34.0
E01001483,33.0
E01001484,32.5
E01001485,33.0
E01001486,34.0
E01001487,33.0
E01001488,33.0
E01001489,32.0
E01001491,32.0
E01001492,34.0
E01001493,38.0
E01001494,42.0
E01001495,37.0
E01001496,40.5
E01001497,37.0
E01001498,36.0
E01001499,38.0
E01001500,36.0
E01001501,36.0
E01001502,35.0
E01001503,36.0
E01001504,33.0
E01001505,33.0
E01001506,31.0
E01001507,33.0
E01001508,33.0
E01001509,32.0
E01001510,18.0
E01001511,35.0
E01001512,35.0
E01001513,34.0
E01001514,35.0
E01001515,32.0
E01001516,34.0
E01001517,32.0
E01001518,36.0
E01001519,34.0
E01001520,40.0
E01001521,39.0
E01001522,37.0
E01001523,39.0
E01001524,36.0
E01001525,39.0
E01001526,44.0
E01001527,40.0
E01001528,33.0
E01001529,35.0
E01001530,34.0
E01001531,42.0
E01001532,44.0
E01001533,49.0
E01001534,39.0
E01001535,45.0
E01001536,40.0
E01001537,38.0
E01001538,44.0
E01001539,41.0
E01001540,38.0
E01001541,39.0
E01001542,36.0
E01001543,43.0
E01001544,45.0
E01001545,32.0
E01001546,32.0
E01001547,33.0
E01001548,32.0
E01001549,30.0
E01001550,34.0
E01001551,37.0
E01001552,36.0
E01001553,34.0
E01001554,32.0
E01001555,32.0
E01001556,38.0
E01001557,34.0
E01001558,32.0
E01001559,32.0
E01001560,34.0
E01001562,33.0
E01001563,36.0
E01001564,40.0
E01001565,42.0
E01001566,41.0
E01001567,46.0
E01001568,47.0
E01001569,38.0
E01001570,37.0
E01001571,35.0
E01001572,37.0
